Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,EMA_short,EMA_long,MACD,Signal,Std_Dev
2024-10-14 00:00:00-04:00,228.44865815944695,231.47532700331138,228.34877720356226,231.04580688476562,39882100,0.0,0.0,,,231.04580688476562,231.04580688476562,0.0,0.0,
2024-10-15 00:00:00-04:00,233.3532605949055,237.22900130875718,232.11461788171079,233.59300231933594,64751400,0.0,0.0,,,231.43768310546875,231.23448802806715,0.20319507740160248,0.0406390154803205,
2024-10-16 00:00:00-04:00,231.34547369396782,231.86489123072647,229.5873982094942,231.5252685546875,34082200,0.0,0.0,,,231.45115778996396,231.25602732633533,0.1951304636286295,0.07153730510998231,
2024-10-17 00:00:00-04:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335938,32993800,0.0,0.0,,,231.5194207366402,231.3033487794482,0.21607195719198558,0.10044423552638296,
2024-10-18 00:00:00-04:00,235.9204255737285,235.9204255737285,233.75281228137578,234.74172973632812,46431500,0.0,0.0,232.5601348876953,,232.01516058274603,231.55804366514303,0.45711691760300255,0.17177877194170688,
2024-10-21 00:00:00-04:00,234.19234018879644,236.5897117727769,234.19234018879644,236.22010803222656,36254500,0.0,0.0,233.5949951171875,,232.6620755749738,231.90338176640847,0.7586938085653401,0.2891617792664335,
2024-10-22 00:00:00-04:00,233.6329632952546,235.96040454410334,232.3443876620224,235.60079956054688,38846600,0.0,0.0,233.99655456542968,,233.11418695736967,232.17726456597427,0.9369223913953988,0.41871390169222655,
2024-10-23 00:00:00-04:00,233.822752128634,234.88158476901867,227.50969037853835,230.5063934326172,52287000,0.0,0.0,233.79277954101562,,232.7129879535616,232.05349633387374,0.6594916196878557,0.46686944529135244,
2024-10-24 00:00:00-04:00,229.7272566761152,230.56634513279107,228.15898997077215,230.31661987304688,31109500,0.0,0.0,233.4771301269531,,232.34431594117473,231.92483881825694,0.41947712291778316,0.4573909808166386,
2024-10-25 00:00:00-04:00,229.4875225740561,232.96369380669327,229.3177112321018,231.1556854248047,38802300,0.0,0.0,232.75992126464843,,232.16144970788704,231.86786449281604,0.29358521507100477,0.42462982766751184,
2024-10-28 00:00:00-04:00,233.06359498314518,234.472033847566,232.29443692443334,233.14349365234375,36087100,0.0,0.0,232.14459838867188,,232.31253339164962,231.96235554166992,0.35017784997970125,0.40973943212994973,
2024-10-29 00:00:00-04:00,232.84382710997653,234.07247106119948,232.06468555632105,233.41319274902344,35417200,0.0,0.0,231.7070770263672,,232.48186560047637,232.06982496443683,0.412040636039535,0.4101996729118668,
2024-10-30 00:00:00-04:00,232.35435817157438,233.21341362628857,229.29772360355057,229.8471221923828,47070900,0.0,0.0,231.57522277832032,,232.07652046076967,231.90518031465507,0.17134014611460202,0.36242776755241385,
2024-10-31 00:00:00-04:00,229.08795100904055,229.57741798472995,225.1223128313268,225.66172790527344,64370100,0.0,0.0,230.6442443847656,39.670353926601024,231.08962929838563,231.44270235840457,-0.3530730600189429,0.2193276020381425,
2024-11-01 00:00:00-04:00,220.72715344034327,225.10234466312102,220.02792579428782,222.66502380371094,65276700,0.0,0.0,228.94611206054688,35.579214900661384,229.79353614535876,230.79250394694577,-0.998967801587014,-0.024331478686888786,
2024-11-04 00:00:00-05:00,220.74713841963055,222.54514803369162,219.46854635353304,221.76600646972656,44944500,0.0,0.0,226.67061462402344,28.425623354283445,228.5585315798769,230.1238745041888,-1.5653429243118921,-0.3325337678118895,
2024-11-05 00:00:00-05:00,221.5562414690178,223.70387248945224,220.896963160989,223.2044219970703,28111300,0.0,0.0,224.6288604736328,34.46473023844402,227.73482241329125,229.61132246662447,-1.876500053333217,-0.641327024916155,
2024-11-06 00:00:00-05:00,222.36535526416637,225.82155947797517,220.94691765378838,222.47523498535156,54561100,0.0,0.0,223.15448303222655,32.64627782934613,226.92565511668514,229.08272339393758,-2.157068277252449,-0.9444752753834138,
2024-11-07 00:00:00-05:00,224.38313701629485,227.629565273657,224.32320539488208,227.22999572753906,42137700,0.0,0.0,223.4681365966797,37.07013067785758,226.97247674912418,228.9454843075377,-1.9730075584135136,-1.1501817319894339,
2024-11-08 00:00:00-05:00,227.1699981689453,228.66000366210938,226.41000366210938,226.9600067138672,38328800,0.25,0.0,224.32713317871094,33.36883172119863,226.97055828216156,228.79841189319174,-1.8278536110301786,-1.285716107797583,4.550154558873779
2024-11-11 00:00:00-05:00,225.0,225.6999969482422,221.5,224.22999572753906,41949000,0.0,0.0,224.81993103027344,31.0172134726361,226.5489332737581,228.46001069573597,-1.9110774219778648,-1.4107883706336393,4.692977961669596
